#SampleID	faith_pd
984N2	14.122675133691
948N2	13.624440682852
954P	13.70107068339784
973P2	14.48112535445481
981P	8.762394081409719
985P	12.57856564683628
951N	13.44388824048808
962P	20.82864055227045
706C	14.29604461599275
970P2	13.80647639548223
947N2	13.08422264285588
952P2	16.87711853423589
971P2	16.73753621145527
948N	12.72074327841765
978P2	11.96373755817425
922C2	17.58731381811821
739N	17.48540733852371
921C2	16.91191304715356
950N2	16.07573759361528
742P	15.98187126925406
701C	15.94329563311594
702C	14.40081365767843
919C	14.10825111997377
980N	14.13776965749852
960N2	10.7000765245568
920C	10.97947227202394
960N	14.06379314528539
988P2	12.92740706678705
972P	15.36404302102925
923C	14.6633041080976
705C	17.69337609386132
929C2	14.07938020601099
947N	17.20206693920298
958P2	11.08924033902155
922C	13.63458778405856
953P	15.04185181728398
706C2	14.97280978315134
918C	14.89394886448191
742P2	19.2052657751416
702C2	14.90245249901093
950N	17.24915992125998
990P2	10.82481843148664
737P	14.11519732587211
926C2	18.04898503933849
927C2	14.31691732865085
735P2	14.76959020841441
741P	13.82695799309302
732N2	16.5720773434999
990P	15.5316764022385
970P	15.61463485676157
975N	15.7497919986123
967N	13.20426319508423
917C	12.33590000280881
958P	10.30321131786994
739N2	15.44803799066802
971P	9.596019593106123
743P	10.72904240274522
983N	12.22390466594534
957P2	12.5257618022169
928C	19.25931569975849
740P	18.19342771197624
985P2	13.30912012019579
988P	12.72023193150183
918C2	12.19371662453643
924C	13.65920763856766
929C	20.0398246566568
951N2	16.31339229171893
987P	12.67896608652565
949N2	12.5674569488348
923C2	11.38706416648399
963P	14.97941980887685
982N	11.00789995336398
972P2	11.9262857760362
701C2	9.613550456861367
949N	16.64617963444626
966N	14.03176026267173
963P2	13.00529369652874
979N2	12.28398801124754
955N2	9.770129825532665
926C	12.55126552730802
952P	18.50001390044876
925C2	11.05502490655271
924C2	14.98895671710033
732N	10.74694071759466
921C	15.53113744663194
705C2	13.76876543547243
956N	15.19931413482794
986N	13.59696503052849
736N	10.02527018419768
741P2	13.03214391729638
928C2	15.23861606588611
956N2	18.42769117356506
930C	14.36216350212102
989N	11.68541258149268
736N2	11.49197403489983
986N2	10.16267019200899
919C2	12.38770448229037
981P2	8.508073717136009
955N	15.50451094099594
925C	15.00507318822507
962P2	17.16973141031072
734N	16.00384623090844
957P	17.14838950216546
978P	11.82829729132791
737P2	16.77198220908906
975N2	13.33452607030995
927C	12.66197957636839
973P	13.36686520662746
744P	14.46664689505544
989N2	8.275172585541537
735P	11.0241788831325
954P2	14.20523410014042
953P2	11.14998725715202
916C	12.32550288700086
984N	13.22059620594678
